RecordType,Date,Time,Temperature,Humidity,AmbLight,Battery,MotDetects60secs,MotDets0-9secs,MotDets10-19secs,MotDets20-29secs,MotDets30-39secs,MotDets40-49secs,MotDets50-59secs,Lat,Long,Timestamp
1,25-06-02,20:26:00,21,52,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 20:26:00
1,25-06-02,20:27:00,21,52,0,159,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 20:27:00
1,25-06-02,20:28:00,21,52,0,159,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 20:28:00
1,25-06-02,20:29:00,21,52,0,159,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 20:29:00
1,25-06-02,20:30:00,21,52,0,159,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 20:30:00
1,25-06-02,20:31:00,21,52,0,159,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 20:31:00
1,25-06-02,20:32:00,21,52,0,159,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 20:32:00
1,25-06-02,20:33:00,21,52,0,159,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 20:33:00
1,25-06-02,20:34:00,21,51,0,159,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 20:34:00
1,25-06-02,20:35:00,21,51,0,159,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 20:35:00
1,25-06-02,20:36:00,21,52,0,159,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 20:36:00
1,25-06-02,20:37:00,21,52,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 20:37:00
1,25-06-02,20:38:00,21,52,0,159,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 20:38:00
1,25-06-02,20:39:00,21,52,0,159,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 20:39:00
1,25-06-02,20:40:00,21,52,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 20:40:00
1,25-06-02,20:41:00,21,52,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 20:41:00
1,25-06-02,20:42:00,21,52,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 20:42:00
1,25-06-02,20:43:00,21,52,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 20:43:00
1,25-06-02,20:44:00,21,51,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 20:44:00
1,25-06-02,20:45:00,21,52,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 20:45:00
1,25-06-02,20:46:00,21,52,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 20:46:00
1,25-06-02,20:47:00,21,52,0,159,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 20:47:00
1,25-06-02,20:48:00,21,52,0,159,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 20:48:00
1,25-06-02,20:49:00,21,52,0,161,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 20:49:00
1,25-06-02,20:50:00,21,52,0,159,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 20:50:00
1,25-06-02,20:51:00,21,52,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 20:51:00
1,25-06-02,20:52:00,21,52,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 20:52:00
1,25-06-02,20:53:00,21,52,0,159,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 20:53:00
1,25-06-02,20:54:00,21,51,0,159,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 20:54:00
1,25-06-02,20:55:00,21,51,0,159,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 20:55:00
1,25-06-02,20:56:00,21,52,0,159,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 20:56:00
1,25-06-02,20:57:00,21,52,0,159,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 20:57:00
1,25-06-02,20:58:00,21,52,0,159,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 20:58:00
1,25-06-02,20:59:00,21,52,0,159,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 20:59:00
1,25-06-02,21:00:00,21,52,0,159,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 21:00:00
1,25-06-02,21:01:00,21,52,0,159,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 21:01:00
1,25-06-02,21:02:00,21,52,0,161,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 21:02:00
1,25-06-02,21:03:00,21,52,0,159,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 21:03:00
1,25-06-02,21:04:00,21,51,0,159,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 21:04:00
1,25-06-02,21:05:00,21,51,0,159,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 21:05:00
1,25-06-02,21:06:00,21,52,0,159,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 21:06:00
1,25-06-02,21:07:00,21,52,0,159,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 21:07:00
1,25-06-02,21:08:00,21,52,0,159,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 21:08:00
1,25-06-02,21:09:00,21,52,0,159,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 21:09:00
1,25-06-02,21:10:00,21,52,0,159,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 21:10:00
1,25-06-02,21:11:00,21,52,0,159,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 21:11:00
1,25-06-02,21:12:00,21,52,0,159,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 21:12:00
1,25-06-02,21:13:00,21,52,0,159,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 21:13:00
1,25-06-02,21:14:00,21,51,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 21:14:00
1,25-06-02,21:15:00,21,51,0,159,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 21:15:00
1,25-06-02,21:16:00,21,51,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 21:16:00
1,25-06-02,21:17:00,21,52,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 21:17:00
1,25-06-02,21:18:00,21,52,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 21:18:00
1,25-06-02,21:19:00,21,52,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 21:19:00
1,25-06-02,21:20:00,21,52,0,159,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 21:20:00
1,25-06-02,21:21:00,21,52,0,159,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 21:21:00
1,25-06-02,21:22:00,21,52,0,159,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 21:22:00
1,25-06-02,21:23:00,21,52,0,159,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 21:23:00
1,25-06-02,21:24:00,21,51,0,159,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 21:24:00
1,25-06-02,21:25:00,21,51,0,159,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 21:25:00
1,25-06-02,21:26:00,21,51,0,159,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 21:26:00
1,25-06-02,21:27:00,21,52,0,159,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 21:27:00
